id,codigo,descripcion,provincia_id
1082,09,QUITO-ARMA,95
1083,10,SAN ANTONIO DE CUSICANCHA,95
1084,11,SAN FRANCISCO DE SANGAYAICO,95
1085,12,SAN ISIDRO,95
1086,13,SANTIAGO DE CHOCORVOS,95
1087,14,SANTIAGO DE QUIRAHUARA,95
1088,15,SANTO DOMINGO DE CAPILLAS,95
1089,16,TAMBO,95
1090,01,PAMPAS,96
1091,02,ACOSTAMBO,96
1092,03,ACRAQUIA,96
1093,04,AHUAYCHA,96
1094,05,COLCABAMBA,96
1095,06,DANIEL HERNANDEZ,96
1096,07,HUACHOCOLPA,96
1097,09,HUARIBAMBA,96
1098,10,ÑAHUIMPUQUIO,96
1099,11,PAZOS,96
1100,13,QUISHUAR,96
1101,14,SALCABAMBA,96
1102,15,SALCAHUASI,96
1103,16,SAN MARCOS DE ROCCHAC,96
1104,17,SURCUBAMBA,96
1105,18,TINTAY PUNCU,96
1106,01,HUANUCO,98
1107,02,AMARILIS,98
1108,03,CHINCHAO,98
1109,04,CHURUBAMBA,98
1110,05,MARGOS,98
1111,06,QUISQUI,98
1112,07,SAN FRANCISCO DE CAYRAN,98
1113,08,SAN PEDRO DE CHAULAN,98
1114,09,SANTA MARIA DEL VALLE,98
1115,10,YARUMAYO,98
1116,11,PILLCO MARCA,98
1117,01,AMBO,99
1118,02,CAYNA,99
1119,03,COLPAS,99
1120,04,CONCHAMARCA,99
1121,05,HUACAR,99
1122,06,SAN FRANCISCO,99
1123,07,SAN RAFAEL,99
1124,08,TOMAY KICHWA,99
1125,01,LA UNION,100
1126,07,CHUQUIS,100
1127,11,MARIAS,100
1128,13,PACHAS,100
1129,16,QUIVILLA,100
1130,17,RIPAN,100
1131,21,SHUNQUI,100
1132,22,SILLAPATA,100
1133,23,YANAS,100
1134,01,HUACAYBAMBA,101
1135,02,CANCHABAMBA,101
1136,03,COCHABAMBA,101
1137,04,PINRA,101
1138,01,LLATA,102
1139,02,ARANCAY,102
1140,03,CHAVIN DE PARIARCA,102
1141,04,JACAS GRANDE,102
1142,05,JIRCAN,102
1143,06,MIRAFLORES,102
1144,07,MONZON,102
1145,08,PUNCHAO,102
1146,09,PUÑOS,102
1147,10,SINGA,102
1148,11,TANTAMAYO,102
1149,01,RUPA-RUPA,103
1150,02,DANIEL ALOMIAS ROBLES,103
1151,03,HERMILIO VALDIZAN,103
1152,04,JOSE CRESPO Y CASTILLO,103
1153,05,LUYANDO,103
1154,06,MARIANO DAMASO BERAUN,103
1155,01,HUACRACHUCO,104
1156,02,CHOLON,104
1157,03,SAN BUENAVENTURA,104
1158,01,PANAO,105
1159,02,CHAGLLA,105
1160,03,MOLINO,105
